A. S. Dasher
Adam Towsley
Alex Galarraga
Alex J. Best
Alexis Suki Dasher
Andrew O'Desky
Andrey Novoseltsev
André Apitzsch
Anna Chlopecki
Anton Leykin
Antonio Rojas
Bella Tobin
Ben Barros
Ben Hutz
Bianca Thompson
Brandon Gontmacher
Brent Baccala
Bruno Grenet
Chaman Agrawal
Chris Wuthrich
Christian Nassau
Darij Grinberg
Dave Morris
David Coudert
David Einstein
David Roe
David coudert
Dima Pasechnik
Durand Amaury
Edgar Costa
Emmanuel Charpentier
Eric Gourgoulhon
Eric Zhu
Erik Bray
Florentin Jaffredo
Franco Saliola
François Bissey
Frederic Han
Friedrich Wiemer
Frédéric Chapoton
George H. Seelinger
Gerardo E Zelaya Eufemia
Grayson Jorgenson
Heidi Benham
Hendrik Schrezenmaier
Henri Derycke
Henry Talbott
Isuru Fernando
Jamie Juul
Jasmine Camero
Jean-Philippe Labbé
Jeroen Demeyer
Jerry James
Jesper Noordsij
Joey Lupo
John Cremona
John Doyle
John Michael Clark
John Palmieri
Jonas Frede
Jonathan Kliem
Jori Mäntysalo
Julia Cai
Julian Ritter
Julian Rüth
Juliano Levier-Gomes
Karim Van Aelst
Karl-Dieter Crisman
Kevin Lui
Kiran Kedlaya
Kwankyu Lee
Laith Rastanawi
Leopold Mayer
Lukas Stennes
Léo Brunswic
Marc Mezzarobba
Marketa Slukova
Markus Wageringel
Martin Rubey
Matt Torrence
Matthew Lancellotti
Matthias Koeppe
Maverick Woo
Meghan Grip
Michael Jung
Michael Orlitzky
Miguel Marco
Nadia Lafrenière
Nicholas Triantafillou
Nicolas M. Thiéry
Nils Bruin
Olivia Schwager
Paul Fili
Paul Masson
Paul Zimmermann
Peter Bruin
Raghukul Raman
Ralf Stephan
Richard Magner
Samuel Lelièvre
Sebastian Oehms
Simon Brandhorst
Simon King
Simon Xu
Sophia Elia
Steven Trogdon
Sébastien Labbé
Talia Blum
Thierry Monteil
Travis Scrimshaw
Victor Manero
Vincent Delecroix
Vishal Arul
Volker Braun
Wayne Peng
Xavier Caruso
Émile Nadeau
​Eric Gourgoulhon
